TEKS ID,Statement,Grade,Chapter
120.21.d.3.C,"use high-frequency words, contextual factors, and word analysis such as Greek and Latin prefixes, suffixes, and roots and cognates to comprehend content-area vocabulary in text;","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.3.D,"use context to construct the meaning of figurative language such as idiomatic expressions, descriptive language, and words with multiple meanings to comprehend a variety of text;","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.3.E,"use pre-reading strategies, including previewing the text features, connecting to prior knowledge, organizing ideas, and making predictions, to develop comprehension;","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.3.F,"derive meaning from and demonstrate comprehension of content-area texts using visual, contextual, and linguistic supports;","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.3.G,"demonstrate reading comprehension of content-area texts by retelling, paraphrasing, summarizing, and responding to questions; and","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.3.H,read with fluency and prosody and demonstrate comprehension of content-area text.,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.4.A,apply relationships between sounds and letters of the English language to represent sounds when writing;,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.4.B,write text following conventional spelling patterns and rules;,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.4.C,write using a combination of high-frequency words and content-area vocabulary;,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.4.D,write content-area texts using a variety of sentence lengths and types and transition words;,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.4.E,"write content-area specific text using conventions such as capitalization, punctuation, and abbreviations and grammatical structures such as subject-verb agreement, verb tense, possessive case, and contractions; and","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.d.4.F,"write to narrate, describe, explain, respond, or justify with supporting details and evidence using appropriate content, style, register, and conventions for specific purpose and audience.","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.e.1,The following five proficiency levels describe students' progress in English language acquisition.,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.e.2,"The Grades 4-12 proficiency level descriptors are described in the figure provided in this paragraph.
Figure: 19 TAC §120.21(e)(2)","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.e.1.A,"Pre-production. The pre-production level, also known as the silent period, is the early stage of English language acquisition when receptive language is developing. Students develop comprehension when highly scaffolded instruction and linguistic support are provided. Student responses are mostly non-verbal.","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.e.1.B,Beginning. The beginning level is characterized by speech emergence (expressive language) using one word or two-to-three-word phrases. Students at this level require highly scaffolded instruction and linguistic support. Students at this level begin to consistently use present tense verbs and repeat keywords and familiar phrases when engaging in formal and informal interactions.,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.e.1.C,"Intermediate. The intermediate level is characterized by the ability to use receptive and expressive language with demonstrated literal comprehension. Students at this level need moderately scaffolded instruction and linguistic support. Additional visual and linguistic support is needed to understand unfamiliar or abstract concepts such as figurative language, humor, and cultural or societal references. Students at this level begin to consistently use short phrases and simple sentences or ask short questions to demonstrate comprehension during formal and informal interactions.","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.e.1.D,"High intermediate. Students at the high intermediate level begin to consistently use a variety of sentence types, express opinions, share thoughts, and ask for clarification. Students at this level have an increased level of literal and abstract comprehension. Students may need minimal scaffolded instruction and linguistic support to engage in formal and informal classroom interactions.","04, 05, 06, 07, 08, 09, 10, 11, 12",120
120.21.e.1.E,Advanced. The advanced level is characterized by the ability of students to engage in formal and informal classroom interactions with little to no linguistic support. Students at this level engage in discourse using content-area vocabulary and a variety of grammatical structures with increasing accuracy.,"04, 05, 06, 07, 08, 09, 10, 11, 12",120
115.12.a.1,"The goal of health education is to provide instruction that allows youth to develop and sustain health-promoting behaviors throughout their lives. The understanding and application of these standards will allow students the ability to gather, interpret, and understand health information; achieve health literacy; and adapt to the ever-evolving science of health. The health education knowledge and skills should be presented to students in a positive manner to support the development of a healthy self-concept and responsible decision making. The standards will help students reinforce, foster, and apply positive character traits.",K,120
